year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,2,F9,Frontier Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",76,27,3.38,0,17.92,0,5.7,1,0,1733,251,0,850,0,632
2015,2,F9,Frontier Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",29,12,0.85,0.29,7.43,0,3.42,1,0,770,26,10,409,0,325
2015,2,F9,Frontier Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",234,121,19.67,0,48.94,0,52.39,6,1,8535,1082,0,2250,0,5203
2015,2,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",157,66,15.8,0.88,29.53,0,19.8,2,0,5876,2002,101,1490,0,2283
2015,2,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",72,20,3.91,0.04,12.53,0,3.51,0,0,1003,146,2,581,0,274
2015,2,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",397,169,39.93,6.45,85.37,0,37.24,12,0,15379,3627,648,5304,0,5800
2015,2,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",16,4,0.5,0.08,0.84,0,2.58,0,0,253,22,10,101,0,120
2015,2,F9,Frontier Airlines Inc.,PDX,"Portland, OR: Portland International",40,13,1.09,0,7.15,0,4.76,0,0,1287,61,0,643,0,583
2015,2,F9,Frontier Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",136,50,17.64,1.38,23.05,0,7.93,6,0,3189,1105,149,1218,0,717
2015,2,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",206,74,16.86,1.58,39.79,0,15.77,2,0,4010,1159,369,1557,0,925
2015,2,F9,Frontier Airlines Inc.,TTN,"Trenton, NJ: Trenton Mercer",208,105,18.29,2.59,33.09,0,51.04,14,2,11355,1154,623,2282,0,7296
2015,2,F9,Frontier Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",16,3,1.22,0,1,0,0.78,0,0,197,54,0,82,0,61
2015,2,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",85,32,6.51,0,17.73,0,7.77,0,1,1772,376,0,629,0,767
2015,2,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",104,23,3.16,0,11.63,0,8.21,0,0,1154,196,0,459,0,499
2015,2,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",128,55,8.41,0.21,35.78,0,10.6,0,0,4203,1255,24,2010,0,914
2015,2,F9,Frontier Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",79,19,1.17,0.54,13.73,0,3.56,0,0,858,54,18,546,0,240
